"Gene symbol","Probe ID / feature ID","LocusLink","limma logFC AD vs CN","Average expression","Moderated t statistic","Raw P value","FDR-adjusted P value","B statistic","Rank by raw P value","Selected for 464-gene panel","Direction in AD"
"LILRA2","11749617_a_at","LOC11027",0.201750346059334,6.7391059602649,2.97401193521739,0.00317792102807111,0.55505763131102,-1.81950123541572,282,TRUE,"Higher in AD"
"EGLN1","11753665_x_at","LOC54583",0.154884810431912,6.43261589403973,2.97265519043388,0.00319159124964997,0.55505763131102,-1.82304684632818,283,TRUE,"Higher in AD"
"ZNF281","11729733_a_at","LOC23528",0.135067570661512,7.74850993377483,2.97238353273912,0.00319433486814691,0.55505763131102,-1.82375659315795,284,TRUE,"Higher in AD"
"ATP6V1C1","11722182_a_at","LOC528",0.155318916394505,6.1411059602649,2.97151083449982,0.00320316334434133,0.55505763131102,-1.82603623803151,285,TRUE,"Higher in AD"
"TPD52L1","11720704_s_at","LOC7164",0.127775759708464,2.74797350993377,2.96811347973357,0.00323774524743548,0.559088415349121,-1.83490476473209,286,TRUE,"Higher in AD"
"SLC6A6","11750851_a_at","LOC6533",0.206568489499536,6.08594039735099,2.96153744685616,0.00330565624483528,0.5613303048669,-1.85204395886793,287,TRUE,"Higher in AD"
"TPST1","11756374_a_at","LOC8460",0.344924244809872,5.11715894039735,2.961121476545,0.00330999552960817,0.5613303048669,-1.85312690877307,288,TRUE,"Higher in AD"
"HBG1","11758698_x_at","LOC3047",-0.262878200053151,11.4390066225166,-2.96048935966005,0.00331659957717347,0.5613303048669,-1.8547723082565,289,TRUE,"Lower in AD"
"C19ORF59","11725888_at","LOC199675",0.250155473344626,7.39620860927152,2.95998235879535,0.00332190518775361,0.5613303048669,-1.85609179284712,290,TRUE,"Higher in AD"
"TIE1","11759904_x_at","",-0.079731634188814,2.21385430463576,-2.95954625227871,0.00332647512448916,0.5613303048669,-1.85722660329099,291,TRUE,"Lower in AD"
"","11759527_at","",-0.0768607878111365,2.29744039735099,-2.95920832949052,0.00333002015535516,0.5613303048669,-1.85810581805967,292,TRUE,"Lower in AD"
"FLT3","11737027_a_at","LOC2322",0.203522626317456,5.21679470198676,2.95918247130792,0.00333029156696233,0.5613303048669,-1.85817309255709,293,TRUE,"Higher in AD"
"FZD4","11719012_at","LOC8322",0.0681648776982242,2.06050993377483,2.95450378944688,0.00337973434448942,0.563017803468993,-1.87033641186059,294,TRUE,"Higher in AD"
"ACPL2","11749167_a_at","LOC92370",0.0724216697346002,2.12382450331126,2.95320406309063,0.00339358814976546,0.563017803468993,-1.87371214843096,295,TRUE,"Higher in AD"
"TYMP","11760977_a_at","",0.145465601354447,4.30139735099338,2.9508746281836,0.00341854772247488,0.563017803468993,-1.87975882699285,296,TRUE,"Higher in AD"
"CFLAR","11763231_at","",0.215339292280473,4.76884768211921,2.95051133391251,0.00342245547478649,0.563017803468993,-1.88070145212274,297,TRUE,"Higher in AD"
"ELL","11728333_a_at","LOC8178",0.108745292562111,5.66769536423841,2.95009754162287,0.00342691138391439,0.563017803468993,-1.88177496982222,298,TRUE,"Higher in AD"
"OSBPL2","11721462_at","LOC9885",0.0879350125913506,9.72449006622517,2.95001321338444,0.00342782012064547,0.563017803468993,-1.88199372858055,299,TRUE,"Higher in AD"
"PLEKHS1","11751470_a_at","LOC79949",0.055055290732222,2.06961920529801,2.94954043190007,0.00343291898554767,0.563017803468993,-1.88322007851019,300,TRUE,"Higher in AD"
"SLC39A1","11745745_a_at","LOC27173",0.100288496642172,3.0978178807947,2.94949200065387,0.00343344169959768,0.563017803468993,-1.88334569411668,301,TRUE,"Higher in AD"
"PIP4K2A","11746494_x_at","LOC5305",-0.281269598184912,5.83020198675497,-2.94763127080868,0.00345357961032431,0.563017803468993,-1.88817038393679,302,TRUE,"Lower in AD"
"CSF1R","11716993_a_at","LOC1436",-0.142448939943822,8.79324834437086,-2.94756426698968,0.00345430677623425,0.563017803468993,-1.88834406498069,303,TRUE,"Lower in AD"
"NSMAF","11740560_x_at","LOC8439",0.0961059142229414,6.79276821192053,2.94618916683701,0.00346926115853254,0.563098510268361,-1.89190765314782,304,TRUE,"Higher in AD"
"SVIL","11739746_s_at","LOC6840",0.154647678518436,7.12384105960265,2.94542419671354,0.00347760591325173,0.563098510268361,-1.89388940680893,305,TRUE,"Higher in AD"
"CYP4F3 || CYP4F2","11749758_s_at","",0.258654311629998,6.59862251655629,2.94152283624827,0.00352045057498775,0.566772664750279,-1.90398887226,306,TRUE,"Higher in AD"
"CD46","11751532_x_at","LOC4179",0.167366590110875,6.2335298013245,2.93996659097249,0.00353767549496522,0.566772664750279,-1.90801402496749,307,TRUE,"Higher in AD"
"ABHD12B","11738559_a_at","LOC145447",0.195556533499564,4.30032450331126,2.93962404278277,0.0035414772386753,0.566772664750279,-1.90889974075944,308,TRUE,"Higher in AD"
"HBG2","11744478_s_at","LOC3048",-0.358856740758717,11.2405728476821,-2.93645474818488,0.00357682897937876,0.566772664750279,-1.91708988945766,309,TRUE,"Lower in AD"
"LSMEM2","11728950_at","LOC132228",-0.111047328936566,7.84960927152318,-2.93553479068618,0.00358715084700443,0.566772664750279,-1.91946570743698,310,TRUE,"Lower in AD"
"PITHD1","11756446_a_at","LOC57095",-0.277177406281079,7.1961523178808,-2.93349207983387,0.00361016736432231,0.566772664750279,-1.92473857129579,311,TRUE,"Lower in AD"
"CYP4F2","11727963_x_at","LOC8529",0.145594898092275,4.48640728476821,2.93021628508491,0.00364735977474929,0.566772664750279,-1.93318720951908,312,TRUE,"Higher in AD"
"ACPL2","11753980_a_at","LOC92370",0.204046350505543,4.95845033112583,2.92900158014415,0.00366123994208606,0.566772664750279,-1.93631781582145,313,TRUE,"Higher in AD"
"DYX1C1-CCPG1 || CCPG1","11748067_a_at","",0.198611299615527,6.17172185430464,2.92854345498958,0.0036664873614034,0.566772664750279,-1.93749820537779,314,TRUE,"Higher in AD"
"TMTC1","11755214_a_at","LOC83857",0.23724839478974,2.6629701986755,2.92810619235245,0.00367150222839947,0.566772664750279,-1.93862467958033,315,TRUE,"Higher in AD"
"GRB10","11722160_a_at","LOC2887",0.219909271254486,6.42934768211921,2.92797593783031,0.00367299729945415,0.566772664750279,-1.93896021021106,316,TRUE,"Higher in AD"
"SLC25A44","11719370_a_at","LOC9673",0.121754368913137,8.22740066225166,2.92770350457758,0.00367612610728682,0.566772664750279,-1.93966194246116,317,TRUE,"Higher in AD"
"LTB4R","11731135_a_at","LOC1241",0.188568096642889,7.67619205298013,2.92642584455708,0.00369083213861586,0.566772664750279,-1.94295211488776,318,TRUE,"Higher in AD"
"CCDC47","11743728_a_at","LOC57003",0.108374896111189,6.42403642384106,2.92567871740668,0.00369945655578344,0.566772664750279,-1.94487545811934,319,TRUE,"Higher in AD"
"PTPRE","11746486_a_at","LOC5791",0.114648472144603,8.38307284768212,2.92398332683232,0.00371909553501225,0.566772664750279,-1.94923822271785,320,TRUE,"Higher in AD"
"ASAP1","11755032_s_at","LOC50807",0.114735071381538,10.3051688741722,2.92336409121594,0.00372629232039872,0.566772664750279,-1.95083111543905,321,TRUE,"Higher in AD"
"LIMK2","11757632_s_at","LOC3985",0.159716977238928,8.88490066225166,2.92191225650798,0.00374321552094956,0.566772664750279,-1.95456450476355,322,TRUE,"Higher in AD"
"BHLHB9","11726202_s_at","LOC80823",0.209410307361115,4.51060264900662,2.92133555137458,0.00374995730189447,0.566772664750279,-1.9560470171927,323,TRUE,"Higher in AD"
"WDFY3","11735912_a_at","LOC23001",0.237539563356023,7.5755761589404,2.92094119088762,0.00375457382659155,0.566772664750279,-1.95706062541608,324,TRUE,"Higher in AD"
"KLHL4","11729175_at","LOC56062",-0.0764742986163925,2.75166887417219,-2.92047331932975,0.00376005763105212,0.566772664750279,-1.95826300936147,325,TRUE,"Lower in AD"
"CHURC1","11761522_at","",-0.0648132447842962,2.08523509933775,-2.91951158288858,0.00377135288342189,0.566772664750279,-1.96073400937631,326,TRUE,"Lower in AD"
"DEFB126","11758715_s_at","LOC81623",-0.0467330251597839,2.04412913907285,-2.91950771827586,0.00377139833437566,0.566772664750279,-1.96074393722616,327,TRUE,"Lower in AD"
